CSE 142 A,LateDaysUsed,2020-01-01,2020-01-01
HONORS 100 A,In-Class Participation,2020-09-30,2020-01-01
CSE 142,Checkpoint 1,2020-01-01,2020-10-02
MATH 126,Syllabus and Welcome Survey (Complete for Participation Points),2020-09-30,2020-10-05
LING 200 A,Quiz 1: what is language,2020-10-05,2020-10-07
CSE 142,Assessment 1,2020-01-01,2020-10-07
MATH 126,WS 1 (Canvas Quiz) Enter WS Answers here for credit - Tues/Wed,2020-10-06,2020-10-08
CSE 190 B,Letter to Self,2020-01-01,2020-10-09
CSE 142,Checkpoint 2,2020-01-01,2020-10-09
HONORS 100 A,Assignment #1: Honors Curriculum Quiz ,2020-09-30,2020-10-12
HONORS 100 A,Assignment #2: Who Are You?,2020-09-30,2020-10-12
LING 200 A,Quiz 2: Phonetics,2020-10-12,2020-10-14
CSE 142,Assessment 2,2020-01-01,2020-10-14
MATH 126,Discussion Assignment 1 (Submit before Wed night) - Wed,2020-09-30,2020-10-15
CSE 190 B,Resume Draft,2020-01-01,2020-10-16
LING 200 A,Homework 1,2020-10-09,2020-10-16
CSE 142,Checkpoint 3,2020-01-01,2020-10-16
CSE 142,Assessment 3,2020-01-01,2020-10-20
LING 200 A,Quiz 3: Phonology,2020-10-19,2020-10-21
CSE 190 B,Scavenger Hunt,2020-01-01,2020-10-23
LING 200 A,Homework 2,2020-10-16,2020-10-23
CSE 142,Checkpoint 4,2020-01-01,2020-10-23
CSE 190 B,Career Prep,2020-01-01,2020-10-24
HONORS 100 A,Assignment #3: Personal Curriculum Planning,2020-09-30,2020-10-26
MATH 126,QUIZ 1 - Ch. 13,2020-10-22,2020-10-26
CSE 142,Assessment 4,2020-10-20,2020-10-27
LING 200 A,Quiz 4: Morphology,2020-10-26,2020-10-28
MATH 126,Discussion Participation Before Exam 2,2020-10-16,2020-10-29
CSE 190 B,Weekly Study Plan,2020-01-01,2020-10-30
LING 200 A,Homework 3,2020-10-23,2020-10-30
CSE 142,Checkpoint 5,2020-01-01,2020-10-30
HONORS 100 A,Assignment #4: Experiential Learning Interview ,2020-09-30,2020-11-02
CSE 142,Assessment 5,2020-10-27,2020-11-04
CSE 190 B,Section Specific Assignment,2020-01-01,2020-11-06
CSE 142,Checkpoint 6,2020-01-01,2020-11-06
MATH 126,QUIZ 1 - Ch. 14,2020-11-05,2020-11-09
MATH 126,Math 126 Section 14.7 (8th ed),2020-01-01,2020-11-10
LING 200 A,Quiz 5: Semantics,2020-11-09,2020-11-11
MATH 126,Discussion Participation Before Exam 3,2020-10-30,2020-11-12
LING 200 A,Homework 4,2020-11-06,2020-11-13
CSE 142,Checkpoint X,2020-01-01,2020-11-13
HONORS 100 A,Assignment #5: Global Challenges: Interdisciplinary Answers Reflection,2020-09-30,2020-11-16
MATH 126,Math 126 Section 15.2 (8th ed),2020-01-01,2020-11-17
MATH 126,Math 126 Section 15.1 (8th ed),2020-01-01,2020-11-17
CSE 142,Assessment 6,2020-11-06,2020-11-17
LING 200 A,Quiz 6: Language Acquisition,2020-11-16,2020-11-18
CSE 142,Checkpoint 7,2020-01-01,2020-11-20
HONORS 100 A,Assignment #6: Honors Portfolio & Autumn Quarter Reflection,2020-09-30,2020-11-23
CSE 142,Assessment 7,2020-11-17,2020-11-24
MATH 126,Discussion Participation Before Exam 4,2020-11-13,2020-12-01
CSE 142,Assessment 8,2020-11-24,2020-12-03
CSE 142,Checkpoint 8,2020-01-01,2020-12-04
HONORS 100 A,Autumn Quarter Portfolio Presentations (See Assignment Description for Presentation Due Date),2020-09-30,2020-12-07
MATH 126,Discussion Participation Before Exam 5,2020-12-02,2020-12-12
